name|url|src|freezeframe
The Absolute Realm|https://theabsoluterealm.com|absoluterealm.gif
arlita's internet page|https://arlita.neocities.org|arlita.gif
Astrale Stella & Co|https://astralestella.neocities.org|astralestella.png
Bytemoth's Brook|https://bytemoth.neocities.org|bytemoth.png
Comfort's Bedroom|https://comfort.kayla.care|comfort.gif|true
Dendrophalaen|https://dendrophalaen.neocities.org/|dendrophalaen.png
Dizzy's Bunny Hell|https://doctordizzy.space|doctordizzy.gif|true
Dolly Cuddles|https://dollycuddles.neocities.org/|dollycuddles.gif|true
Glamour Beast|https://glamourbeast.neocities.org|glamourbeast.png|true
Lugaw.gay|https://lugaw.gay|lugaw.png
The Moon Palace|https://mavisdeluna.art/|mavisdeluna.gif|true
Nostalgic|https://nostalgic.neocities.org|nostalgic.gif
Wasp Nest|https://punkwasp.neocities.org/sitemap/|punkwasp.png
Puruland|https://purupurple.neocities.org|purupurple.png
Reala|https://realachao.xyz|realachao-xyz.png|
Sanguine Royal|https://sanguineroyal.neocities.org|sanguineroyal.gif|true
Sugar Blush|https://sugarblush.neocities.org/|sugarblush.png
Themby|https://themby.neocities.org|themby.png